id,ordinamento,nome_italiano,nome_inglese,prezzo,prezzo_asporto,asporto,solo_asporto,photo,descrizione_italiano,descrizione_inglese,show_desc,surgelato,allergeni,id_categoria_menu,enable,created_at,updated_at
3,0,ARROSTICINI (5pz),Sticks of sheep (5 pieces),5.0,,0,0,,,,0,0,[],2,1,2024-07-30 20:30:26,2024-08-20 12:01:40
4,1,PARMIGIANA DI MELANZANE,Parmigiana,9.0,,0,0,,,"Eggplants parmigiana, mozzarella, tomato sauce and parmesan",0,0,"[""4"", ""5"", ""3"", ""9""]",2,1,2024-07-30 20:32:39,2024-08-20 12:01:40
5,2,polpette al sugo,meatballs with tomato sauce ,11.0,,0,0,,,,0,0,"[""3"", ""4"", ""5"", ""14"", ""13""]",2,1,2024-07-30 20:34:18,2024-08-05 09:10:28
6,3,polpette cacio e pepe,meatballs with cacio e pepe sauce ,11.0,,0,0,,,pecorino and parmesan sauce and black pepper ,0,0,"[""3"", ""4"", ""5"", ""13"", ""14""]",2,1,2024-07-30 20:35:47,2024-08-05 09:10:28
7,4,TARTARE DI MANZO,tartare,13.0,,0,0,,"olio, sale e pepe / stracciatella di bufala e granella di pistacchio",Raw beef tartare,0,0,[],2,1,2024-07-30 20:36:48,2024-08-05 09:10:28
8,5,coratella,coratella,10.0,,0,0,,,lamb innards ,0,0,"[""4""]",2,1,2024-07-30 20:38:16,2024-08-05 09:10:28
9,6,trippa,trippa,10.0,,0,0,,,Tripe with tomato sauce and pecorino cheese ,0,0,"[""5"", ""11""]",2,1,2024-07-30 20:39:09,2024-08-05 09:10:28
10,7,polpette di melanzane,eggplant-balls and pecorino cheese sauce ,9.0,8.0,1,0,,polpette di melanzane fritte con crema di pecorino,,0,0,"[""4"", ""5"", ""14"", ""3"", ""9""]",2,1,2024-07-30 20:41:01,2024-08-05 09:10:28
11,8,tagliere di salumi e formaggi ,selection of typical cheeses and mix of ham and salami,14.0,,0,0,,,,0,0,"[""3"", ""13""]",2,1,2024-07-30 20:43:00,2024-08-05 09:10:28
12,9,crudo e bufala,ham and bufala mozzarella,12.0,,0,0,,,,0,0,"[""5"", ""13""]",2,1,2024-07-30 20:43:55,2024-09-11 05:35:52
13,10,carbonara,carbonara,10.0,,0,0,,,"pasta with eggs, guanciale and pecorino cheese",0,0,"[""4"", ""5"", ""13"", ""14""]",3,1,2024-07-30 20:48:46,2024-08-20 12:01:40
