"id,ordinamento,nome_italiano,nome_inglese,descrizione_italiano,descrizione_inglese,enable,id_categoria_menu,created_at,updated_at"
"3,5,VINO AL CALICE,Glass of wine,,,1,1,2024-07-30 19:48:23,2024-08-20 12:02:39"
"4,6,VINI ROSSI,Red Wine,,,1,1,2024-07-30 19:56:44,2024-08-20 12:02:39"
"5,7,VINI BIANCHI,WHITE WINE,,,1,1,2024-07-30 20:11:04,2024-08-20 12:02:39"
"6,8,BOLLICINE,SPARKLING WINE,,,1,1,2024-07-30 20:23:34,2024-08-20 12:02:39"
"7,0,FRITTI,FRIED,,,1,11,2024-07-30 22:23:03,2024-08-20 12:02:39"
"8,1,BRUSCHETTE ,TOASTED BREAD,,,1,11,2024-07-30 22:23:54,2024-08-20 12:02:39"
"9,2,BIANCHE ,PIZZA WHIT MOZZARELLA,,,1,12,2024-07-30 22:24:52,2024-08-20 12:02:39"
"10,3,ROSSE,PIZZA WHIT TOMATO SAUCE,,,1,12,2024-07-30 22:25:13,2024-08-20 12:02:39"
"11,9,VINO DELLA CASA ,HOUSE WINE,,,1,1,2024-07-30 23:09:14,2024-08-20 12:02:39"
"12,4,FOCACCE,FOCACCE,,,1,12,2024-08-02 17:34:20,2024-08-20 12:02:39"
